filename,duration,mean_volume,tempo
speaker3_input160.wav,9.24,0.04904243,103
speaker3_input95.wav,5.04,0.056754924,129
speaker3_input121.wav,5.76,0.04579872,107
speaker3_input36.wav,6.66,0.045048207,143
speaker3_input180.wav,5.28,0.052547134,143
speaker3_input176.wav,7.02,0.04513809,135
speaker3_input137.wav,8.58,0.047753304,151
speaker3_input16.wav,6.66,0.050780002,135
speaker3_input5.wav,9.18,0.03927245,99
speaker3_input78.wav,5.82,0.048254788,86
speaker3_input74.wav,8.4,0.05949342,135
speaker3_input96.wav,5.22,0.038698953,92
speaker3_input131.wav,6.48,0.04348968,117
speaker3_input156.wav,7.32,0.053141728,95
speaker3_input203.wav,7.74,0.05202556,123
speaker3_input136.wav,7.8,0.054797724,143
speaker3_input15.wav,7.74,0.045783672,161
speaker3_input186.wav,7.38,0.04594808,92
speaker3_input1.wav,5.16,0.06654734,112
speaker3_input240.wav,6,0.053687904,107
speaker3_input169.wav,7.8,0.056156307,75
speaker3_input10.wav,6.18,0.04155074,61
speaker3_input82.wav,6,0.05931809,198
speaker3_input30.wav,9.12,0.03581571,129
speaker3_input20.wav,7.68,0.035855122,135
speaker3_input138.wav,5.04,0.059574228,172
speaker3_input189.wav,5.88,0.048272386,95
speaker3_input159.wav,8.16,0.051135883,80
speaker3_input43.wav,6.3,0.04528907,99
speaker3_input22.wav,8.34,0.03859292,135
speaker3_input11.wav,8.34,0.044200245,78
speaker3_input41.wav,5.7,0.04270748,123
speaker3_input187.wav,7.02,0.050148968,129
speaker3_input122.wav,9.36,0.052726656,80
speaker3_input47.wav,5.7,0.051213987,86
speaker3_input6.wav,5.82,0.042322107,69
speaker3_input62.wav,7.5,0.048535645,172
speaker3_input198.wav,6.48,0.058255564,92
speaker3_input19.wav,7.62,0.045617163,103
speaker3_input155.wav,7.68,0.051271815,78
speaker3_input193.wav,5.4,0.05678371,129
speaker3_input229.wav,4.98,0.038402397,161
speaker3_input58.wav,7.32,0.051374774,112
speaker3_input142.wav,9.84,0.05044234,151
speaker3_input236.wav,8.22,0.042127818,95
speaker3_input29.wav,7.86,0.034651067,107
speaker3_input166.wav,8.88,0.052073825,92
speaker3_input105.wav,6.36,0.06547382,123
speaker3_input139.wav,6.72,0.0523337,161
speaker3_input172.wav,6.12,0.04359055,71
speaker3_input157.wav,5.04,0.04639194,92
speaker3_input197.wav,9.84,0.05056511,86
speaker3_input76.wav,6.66,0.04980683,112
speaker3_input18.wav,6.06,0.0447954,143
speaker3_input8.wav,8.28,0.047260873,107
speaker3_input83.wav,8.52,0.05687599,151
speaker3_input80.wav,6.9,0.055552732,95
speaker3_input87.wav,9.36,0.05532011,143
speaker3_input249.wav,8.1,0.049743123,80
speaker3_input7.wav,6.54,0.03904865,67
speaker3_input114.wav,8.58,0.05793421,86
speaker3_input219.wav,8.4,0.04412735,92
speaker3_input168.wav,5.76,0.053401098,73
speaker3_input119.wav,7.2,0.063449286,67
speaker3_input49.wav,5.64,0.05739423,151
speaker3_input227.wav,5.76,0.044028707,161
speaker3_input146.wav,6.96,0.052828293,80
speaker3_input161.wav,8.22,0.05690601,89
speaker3_input167.wav,5.46,0.04722242,123
speaker3_input200.wav,6.72,0.047211036,64
speaker3_input213.wav,8.58,0.051745128,73
speaker3_input205.wav,5.94,0.04725389,99
speaker3_input85.wav,8.52,0.059294812,92
speaker3_input228.wav,5.16,0.04392983,89
speaker3_input54.wav,9.42,0.05580559,95
speaker3_input233.wav,9.78,0.048093267,103
